бли́зкий	läheinen
бога́тый	rikas; runsas
большо́й	suuri
высо́кий	korkea; pitkä
глубо́кий	syvä
гро́мкий	äänekäs; kuuluva
до́лгий	pitkäaikainen
дорого́й	kallis, arvokas
жа́ркий	kuuma
коро́ткий	lyhyt
кре́пкий	luja, vahva, kova
лёгкий	helppo, kevyt
ма́ленький	pieni
молодо́й	nuori
плохо́й	huono
просто́й	tavallinen; yksinkertainen
ра́нний	aikainen
ре́дкий	harvinainen, harva
сла́дкий	makea
ста́рый	vanha
стро́гий	ankara, tiukka, tarkka
ти́хий	hiljainen
у́зкий	kapea, ahdas
хоро́ший	hyvä
худо́й	huono, paha / laiha
чи́стый	puhdas, siisti
я́ркий	kirkas, loistava
